ID;lat;long;altitude;median_water_depth;name;description;aquifer_name;confinement
R23X6;35.172305;-77.311178;12.9497328;1.237488;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X6/;Castle Hayne;Confined
R23X7;35.172305;-77.311178;13.0472688;2.45364;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X7/;Beaufort;Confined
R23X8;35.172305;-77.311178;13.2911088;32.671512;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X8/;Black Creek;Confined
R23X9;35.172305;-77.311178;13.3886448;32.531304;Cove City;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R23X9/;Upper Cape Fear;Confined
R26N5;35.209201;-77.564518;20.1768456;10.46988;Southwood School;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R26N5/;Peedee;Confined
R29T4;35.19616;-77.752824;30.5799744;20.997672;Moss Hill;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R29T4/;Upper Cape Fear;Confined
R29T5;35.19616;-77.752824;29.4765984;4.40436;Moss Hill;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R29T5/;Surficial;Unconfined
R29T6;35.19616;-77.752824;29.4674544;4.885944;Moss Hill;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R29T6/;Peedee;Confined
R29T7;35.19616;-77.752824;30.7506624;20.75688;Moss Hill;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R29T7/;Black Creek;Confined
R29T8;35.19616;-77.752824;30.8756304;20.927568;Moss Hill;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R29T8/;Black Creek;Confined
R31C1;35.244508;-77.963034;41.9218872;12.324588;Sleepy Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R31C1/;Black Creek;Confined
R31C3;35.244508;-77.963034;42.1291512;7.583424;Sleepy Creek;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R31C3/;Upper Cape Fear;Confined
R47Q2;35.19673;-79.299547;107.4642504;31.25724;Hog Island;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R47Q2/;Upper Cape Fear;Confined
R47Q3;35.19673;-79.299547;107.2417464;4.453128;Hog Island;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R47Q3/;Surficial;Unconfined
R47Q4;35.19673;-79.299547;107.6684664;5.495544;Hog Island;https://cida.usgs.gov/ngwmn/provider/NCDWR/site/R47Q4/;Surficial;Unconfined
